Date,Open,High,Low,Close,Adj Close,Volume
2023-01-30,19.950001,20.139999,19.150000,19.162001,19.146311,488611000
2023-01-31,19.170000,19.687000,18.950001,19.537001,19.521006,498017000
2023-02-01,19.691000,21.191999,19.611000,20.943001,20.925854,660477000
2023-02-02,21.000000,21.948999,20.700001,21.709000,21.691225,564276000
2023-02-03,21.000000,21.745001,20.789000,21.100000,21.082724,429366000
2023-02-06,20.806000,21.570000,20.785999,21.089001,21.071733,452197000
2023-02-07,21.382000,22.259001,21.150000,22.173000,22.154848,664150000
2023-02-08,22.386999,22.878000,22.007999,22.205000,22.186819,559651000
2023-02-09,22.606001,23.020000,22.120001,22.337000,22.318710,523876000
2023-02-10,21.690001,22.077999,20.811001,21.264999,21.247589,550737000
2023-02-13,21.538000,22.048000,20.962000,21.788000,21.770161,474919000
2023-02-14,21.577999,23.049000,21.365999,22.971001,22.952192,675474000
2023-02-15,22.549000,22.855000,22.106001,22.764000,22.745359,420575000
2023-02-16,22.132999,22.549999,21.927000,22.002001,21.983984,412026000
2023-02-17,21.631001,21.740000,20.975000,21.388000,21.370491,465888000
2023-02-21,21.000000,21.493999,20.618000,20.655001,20.638088,410015000
2023-02-22,20.707001,21.104000,20.421000,20.754000,20.737009,513184000
2023-02-23,23.440001,23.888000,23.025000,23.664000,23.644623,1117995000
2023-02-24,23.225000,23.474001,22.947001,23.285999,23.266935,589716000
2023-02-27,23.670000,23.879999,23.454000,23.500999,23.481756,452994000
2023-02-28,23.372000,23.825001,23.205999,23.216000,23.196993,455963000
2023-03-01,23.191999,23.256001,22.507999,22.698000,22.679415,460026000
2023-03-02,22.488001,23.379999,22.431999,23.313999,23.294912,389415000
2023-03-03,23.320000,23.900000,23.129999,23.889999,23.870441,412393000
2023-03-06,23.891001,24.247999,23.487000,23.554001,23.534716,437429000
2023-03-07,23.600000,24.125000,23.240999,23.288000,23.272884,515154000
2023-03-08,23.487000,24.200001,23.424000,24.181000,24.165306,513573000
2023-03-09,24.174999,24.454000,23.382999,23.436001,23.420790,501257000
2023-03-10,23.409000,23.627001,22.726000,22.965000,22.950096,474866000
2023-03-13,22.752001,23.298000,22.297001,22.966000,22.951096,421890000
2023-03-14,23.496000,24.219000,23.459999,24.063000,24.047380,474910000
2023-03-15,23.761000,24.285999,23.360001,24.228001,24.212276,524486000
2023-03-16,24.027000,25.587999,23.893999,25.541000,25.524422,583253000
2023-03-17,25.982000,26.399000,25.667999,25.725000,25.708303,848547000
2023-03-20,25.615000,26.024000,25.129999,25.900000,25.883192,432747000
2023-03-21,26.180000,26.392000,25.381001,26.198999,26.181995,547408000
2023-03-22,26.424999,27.589001,26.237000,26.468000,26.450823,797295000
2023-03-23,27.115000,27.499001,26.690001,27.191000,27.173351,564889000
2023-03-24,27.031000,27.167000,26.355000,26.778999,26.761620,454920000
2023-03-27,26.837000,27.000000,26.365000,26.531000,26.513783,361026000
2023-03-28,26.447001,26.513000,25.850000,26.410000,26.392860,356104000
2023-03-29,26.825001,27.077999,26.597000,26.983999,26.966486,393694000
2023-03-30,27.229000,27.499001,27.101999,27.382999,27.365227,364516000
2023-03-31,27.139999,27.834000,27.105000,27.777000,27.758972,433933000
2023-04-03,27.509001,28.000000,27.336000,27.965000,27.946852,398716000
2023-04-04,27.966000,28.000000,27.306999,27.452999,27.435179,368592000
2023-04-05,26.829000,26.997999,26.395000,26.881001,26.863558,515015000
2023-04-06,26.584000,27.080000,26.427000,27.037001,27.019451,397654000
2023-04-10,26.823000,27.621000,26.669001,27.579000,27.561100,395279000
2023-04-11,27.724001,27.790001,27.125999,27.169001,27.151367,314378000
2023-04-12,27.370001,27.468000,26.448000,26.495001,26.477804,446259000
2023-04-13,26.733999,26.886999,26.329000,26.462999,26.445824,353615000
2023-04-14,26.504000,26.882999,26.219999,26.757999,26.740633,395660000
2023-04-17,26.565001,27.006001,26.433001,27.002001,26.984476,321471000
2023-04-18,27.533001,28.110001,27.357000,27.667000,27.649044,604812000
2023-04-19,27.361000,28.000000,27.232000,27.931000,27.912870,358660000
2023-04-20,27.671000,28.030001,27.000000,27.104000,27.086409,427713000
2023-04-21,26.952000,27.183001,26.722000,27.118999,27.101400,345103000
