Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,8.308000,8.525000,8.194000,8.386000,8.386000,8152000
2023-01-04,8.461000,8.774000,8.206000,8.225000,8.225000,14496000
2023-01-05,8.152000,8.156000,7.963000,8.025000,8.025000,10978000
2023-01-06,8.145000,8.512000,8.053000,8.439000,8.439000,10331000
2023-01-09,8.595000,9.280000,8.466000,8.477000,8.477000,26216000
2023-01-10,8.100000,8.150000,7.511000,7.837000,7.837000,41583000
2023-01-11,7.831000,7.870000,7.404000,7.561000,7.561000,21214000
2023-01-12,7.645000,8.082000,7.566000,8.045000,8.045000,10803000
2023-01-13,7.961000,8.215000,7.955000,8.058000,8.058000,6679000
2023-01-17,8.055000,8.491000,8.020000,8.483000,8.483000,11697000
2023-01-18,8.599000,8.682000,7.864000,7.887000,7.887000,15376000
2023-01-19,7.649000,7.675000,6.902000,7.086000,7.086000,49103000
2023-01-20,7.150000,7.292000,7.086000,7.198000,7.198000,13990000
2023-01-23,7.296000,7.492000,7.151000,7.375000,7.375000,11822000
2023-01-24,7.321000,7.847000,7.237000,7.825000,7.825000,12759000
2023-01-25,7.718000,7.807000,7.460000,7.731000,7.731000,10446000
2023-01-26,7.940000,7.974000,7.601000,7.627000,7.627000,7199000
2023-01-27,7.574000,7.638000,7.392000,7.430000,7.430000,9050000
2023-01-30,7.307000,7.507000,7.163000,7.213000,7.213000,11483000
2023-01-31,7.255000,7.393000,7.205000,7.233000,7.233000,15716000
2023-02-01,7.200000,8.077000,7.011000,7.974000,7.974000,32033000
2023-02-02,8.027000,8.454000,7.982000,8.188000,8.188000,15180000
2023-02-03,8.100000,8.585000,8.068000,8.434000,8.434000,14010000
2023-02-06,8.350000,8.440000,8.180000,8.321000,8.321000,8776000
2023-02-07,8.316000,8.478000,8.000000,8.198000,8.198000,8763000
2023-02-08,8.268000,8.749000,8.233000,8.522000,8.522000,17580000
2023-02-09,8.690000,9.388000,8.655000,8.700000,8.700000,24657000
2023-02-10,8.600000,9.092000,8.577000,9.002000,9.002000,13977000
2023-02-13,8.945000,9.155000,8.760000,9.053000,9.053000,10810000
2023-02-14,8.983000,9.483000,8.904000,9.288000,9.288000,15172000
2023-02-15,9.302000,9.384000,9.169000,9.300000,9.300000,10519000
2023-02-16,9.268000,9.796000,9.207000,9.588000,9.588000,16980000
2023-02-17,9.508000,9.572000,9.066000,9.198000,9.198000,13869000
2023-02-21,9.050000,9.323000,8.791000,8.806000,8.806000,11200000
2023-02-22,8.759000,8.872000,8.561000,8.671000,8.671000,8710000
2023-02-23,8.933000,9.495000,8.930000,9.427000,9.427000,18328000
